"Name","Live Bytes","Live Objects","Allocated Objects","Avg. Age","Generations"
"        viper.silicon.supporters.ExpressionTranslator.$anonfun$translate$1 (viper.silicon.supporters.ExpressionTranslator, scala.Function1, viper.silver.ast.Exp)","13’440 B (0.1%)","280 (0.1%)","280 (0.1%)","406.6","15"
"         viper.silicon.supporters.ExpressionTranslator$$Lambda$1330.1394707661.apply (Object)","13’440 B (0.1%)","280 (0.1%)","280 (0.1%)","406.6","15"
"          viper.silicon.supporters.ExpressionTranslator.translate (scala.Function1, viper.silver.ast.Exp)","13’440 B (0.1%)","280 (0.1%)","280 (0.1%)","406.6","15"
"       viper.silicon.supporters.functions.HeapAccessReplacingExpressionTranslator.translate (scala.Function1, viper.silver.ast.Exp)","1’248 B (0%)","26 (0%)","26 (0%)","351.4","9"
"        viper.silicon.supporters.ExpressionTranslator.$anonfun$translate$1 (viper.silicon.supporters.ExpressionTranslator, scala.Function1, viper.silver.ast.Exp)","1’200 B (0%)","25 (0%)","25 (0%)","344.7","9"
"         viper.silicon.supporters.ExpressionTranslator$$Lambda$1330.1394707661.apply (Object)","1’200 B (0%)","25 (0%)","25 (0%)","344.7","9"
"          viper.silicon.supporters.ExpressionTranslator.translate (scala.Function1, viper.silver.ast.Exp)","1’200 B (0%)","25 (0%)","25 (0%)","344.7","9"
"        viper.silicon.supporters.functions.HeapAccessReplacingExpressionTranslator.$anonfun$translatePostcondition$1 (viper.silicon.supporters.functions.HeapAccessReplacingExpressionTranslator, viper.silver.ast.Exp)","48 B (0%)","1 (0%)","1 (0%)","519.0","1"
"         viper.silicon.supporters.functions.HeapAccessReplacingExpressionTranslator$$Lambda$1539.1670545533.apply (Object)","48 B (0%)","1 (0%)","1 (0%)","519.0","1"
"          scala.collection.immutable.List.map (scala.Function1)","48 B (0%)","1 (0%)","1 (0%)","519.0","1"
"     viper.silicon.rules.evaluator$.$anonfun$join$3 (viper.silicon.state.terms.App, viper.silicon.rules.JoinDataEntry)","5’136 B (0%)","107 (0%)","107 (0%)","296.0","17"
"      viper.silicon.rules.evaluator$$$Lambda$2406.554034061.apply (Object)","5’136 B (0%)","107 (0%)","107 (0%)","296.0","17"
"       scala.collection.immutable.Vector1.map (scala.Function1)","5’136 B (0%)","107 (0%)","107 (0%)","296.0","17"
"        scala.collection.immutable.Vector1.map (scala.Function1)","5’136 B (0%)","107 (0%)","107 (0%)","296.0","17"
"         viper.silicon.rules.evaluator$.join (viper.silicon.state.terms.Sort, String, scala.collection.immutable.Seq, viper.silicon.verifier.Verifier, scala.collection.immutable.Seq)","5’136 B (0%)","107 (0%)","107 (0%)","296.0","17"
"          viper.silicon.rules.evaluator$.$anonfun$eval2$80 (viper.silicon.state.terms.Sort, viper.silicon.state.State, viper.silicon.verifier.Verifier, scala.collection.immutable.Seq)","4’656 B (0%)","97 (0%)","97 (0%)","312.2","16"
"     viper.silicon.state.terms.Implies$._apply (viper.silicon.state.terms.Term, viper.silicon.state.terms.Term)","2’640 B (0%)","55 (0%)","55 (0%)","242.9","23"
