"Name","Live Bytes","Live Objects","Allocated Objects","Avg. Age","Generations"
"         viper.silicon.rules.quantifiedChunkSupporter$.produce (viper.silicon.state.State, viper.silver.ast.Forall, viper.silver.ast.Resource, scala.collection.immutable.Seq, scala.collection.immutable.Seq, String, scala.Option, scala.collection.immutable.Seq, scala.collection.immutable.Seq, scala.collection.immutable.Seq, viper.silicon.state.terms.Term, scala.collection.immutable.Seq, viper.silicon.state.terms.Term, viper.silicon.state.terms.Term, viper.silicon.verifier.Verifier, scala.Function2)","1’984 B (0%)","31 (0%)","452 (0%)","836.3","10"
"          viper.silicon.rules.producer$.$anonfun$produceTlc$28 (scala.Function2, viper.silver.ast.FieldAccessPredicate, viper.silver.ast.Forall, String, scala.Option, scala.Function2, viper.silicon.state.State, scala.collection.immutable.Seq, scala.collection.immutable.Seq, scala.collection.immutable.Seq, scala.collection.immutable.Seq, scala.Tuple2, viper.silicon.verifier.Verifier)","1’984 B (0%)","31 (0%)","452 (0%)","836.3","10"
"     viper.silicon.rules.quantifiedChunkSupporter$.$anonfun$consume$2 (scala.collection.immutable.Seq, scala.collection.immutable.Seq, viper.silicon.state.terms.Quantification)","64 B (0%)","1 (0%)","26 (0%)","618.0","1"
"      viper.silicon.rules.quantifiedChunkSupporter$$$Lambda$2146.2082722427.apply (Object)","64 B (0%)","1 (0%)","26 (0%)","618.0","1"
"       scala.collection.immutable.Vector1.map (scala.Function1)","64 B (0%)","1 (0%)","26 (0%)","618.0","1"
"        scala.collection.immutable.Vector1.map (scala.Function1)","64 B (0%)","1 (0%)","26 (0%)","618.0","1"
"         viper.silicon.rules.quantifiedChunkSupporter$.consume (viper.silicon.state.State, viper.silicon.state.Heap, viper.silver.ast.Resource, scala.collection.immutable.Seq, scala.collection.immutable.Seq, String, scala.Option, scala.collection.immutable.Seq, scala.collection.immutable.Seq, scala.collection.immutable.Seq, viper.silicon.state.terms.Term, scala.collection.immutable.Seq, viper.silicon.state.terms.Term, viper.silver.verifier.PartialVerificationError, scala.Function0, scala.Function0, scala.Function0, viper.silicon.verifier.Verifier, scala.Function4)","64 B (0%)","1 (0%)","26 (0%)","618.0","1"
"          viper.silicon.rules.consumer$.$anonfun$consumeTlc$11 (viper.silicon.state.Heap, viper.silver.ast.Field, viper.silicon.state.BasicChunkIdentifier, scala.Option, viper.silver.verifier.PartialVerificationError, viper.silver.ast.FieldAccessPredicate, scala.Function4, viper.silicon.state.State, scala.collection.immutable.Seq, scala.collection.immutable.Seq, scala.collection.immutable.Seq, scala.collection.immutable.Seq, scala.Tuple2, viper.silicon.verifier.Verifier)","64 B (0%)","1 (0%)","26 (0%)","618.0","1"
"    viper.silicon.state.utils.package$.recurse$1 (viper.silicon.state.terms.Term, scala.PartialFunction, scala.Function1, scala.PartialFunction)","11’712 B (0.1%)","183 (0.1%)","2’179 (0.2%)","524.9","47"
"     viper.silicon.state.utils.package$.transform (viper.silicon.state.terms.Term, scala.PartialFunction, scala.Function1, scala.PartialFunction)","11’712 B (0.1%)","183 (0.1%)","2’179 (0.2%)","524.9","47"
"      viper.silicon.state.terms.Term.transform (scala.PartialFunction, scala.Function1, scala.PartialFunction)","11’264 B (0.1%)","176 (0.1%)","2’044 (0.2%)","516.1","44"
